puzzle_id,n,t,d,markov_entropy,pattern_score
41,2,3,4,2.0,0.1386468838532139
42,2,4,1,0.0,1.0
43,4,3,1,0.0,1.0
44,4,3,1,0.0,1.0
45,3,1,1,0.0,1.0
46,1,4,1,0.0,1.0
47,1,4,4,0.8112781244591328,0.6506015297177028
48,3,4,2,1.0,0.36907024642854247
49,4,3,4,1.5,0.35398516288991033
50,1,2,2,1.0,0.36907024642854247
51,4,4,1,0.0,1.0
52,3,3,3,1.584962500721156,0.20751874963942196
53,4,3,4,2.0,0.1386468838532139
54,1,3,1,0.0,1.0
55,4,3,1,0.0,1.0
56,1,4,1,0.0,1.0
57,4,1,2,1.0,0.36907024642854247
58,2,4,1,0.0,1.0
59,2,3,1,0.0,1.0
60,2,4,1,0.0,1.0
