puzzle_id,n,t,d,markov_entropy,pattern_score
1,3,1,4,0.8112781244591328,0.6506015297177028
2,1,1,1,0.0,1.0
3,4,3,4,2.0,0.1386468838532139
4,3,1,3,0.9182958340544896,0.5408520829727552
5,4,4,4,2.0,0.1386468838532139
6,4,4,3,1.584962500721156,0.20751874963942196
7,1,2,2,1.0,0.36907024642854247
8,4,4,1,0.0,1.0
9,2,1,4,0.8112781244591328,0.6506015297177028
10,4,3,1,0.0,1.0
11,2,4,4,2.0,0.1386468838532139
12,4,1,4,0.8112781244591328,0.6506015297177028
13,1,1,3,0.9182958340544896,0.5408520829727552
14,4,1,2,1.0,0.36907024642854247
15,1,3,2,1.0,0.36907024642854247
16,4,4,4,1.5,0.35398516288991033
17,1,1,1,0.0,1.0
18,3,4,4,2.0,0.1386468838532139
19,2,3,2,1.0,0.36907024642854247
20,1,1,4,0.8112781244591328,0.6506015297177028
