puzzle_id,n,t,d,markov_entropy,pattern_score
21,2,4,2,1.0,0.36907024642854247
22,1,1,2,1.0,0.36907024642854247
23,4,2,3,0.9182958340544896,0.5408520829727552
24,4,1,3,0.9182958340544896,0.5408520829727552
25,1,1,1,0.0,1.0
26,1,4,4,0.8112781244591328,0.6506015297177028
27,3,4,1,0.0,1.0
28,3,1,4,0.8112781244591328,0.6506015297177028
29,2,4,2,1.0,0.36907024642854247
30,4,4,2,1.0,0.36907024642854247
31,4,3,4,0.8112781244591328,0.6506015297177028
32,4,4,3,1.584962500721156,0.20751874963942196
33,4,1,1,0.0,1.0
34,4,3,3,1.584962500721156,0.20751874963942196
35,4,2,1,0.0,1.0
36,4,1,1,0.0,1.0
37,1,1,2,1.0,0.36907024642854247
38,3,3,1,0.0,1.0
39,3,1,2,1.0,0.36907024642854247
40,2,3,4,2.0,0.1386468838532139
