puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
383,7,4,12,2.054585169337799,0.4447726957244109,8,
466,7,6,15,2.365596230357602,0.4086009424105995,7,
467,6,5,9,2.725480556997868,0.1795485997446667,2,
109,5,5,15,2.6062389286533896,0.3484402678366526,6,
154,6,2,4,0.8112781244591328,0.6506015297177028,12,
326,3,6,13,3.7004397181410926,0.0280812285970785,,"(0.0, 0.05]"
587,1,5,14,3.521640636343319,0.0986078186315824,1,"(0.05, 0.1]"
706,10,5,12,1.4182958340544896,0.6167223513731586,11,"(0.6, 0.65]"
111,6,7,19,1.7732143550933814,0.5897168309692586,10,"(0.55, 0.6]"
553,6,1,1,0.0,1.0,18,"(0.95, 1.0]"
