run_id,run_accuracy,pattern_weighted_accuracy,prompt_title,give_explanation,ask_explanation,model
0,1.0,1.0,go_step_by_step,1,1,gpt-4o
1,1.0,0.0,go_step_by_step,1,1,gpt-4o
2,1.0,0.36907024642854247,go_step_by_step,1,1,gpt-4o
3,0.0,0.0,go_step_by_step,1,1,gpt-4o
4,0.0,0.36907024642854247,go_step_by_step,1,1,gpt-4o
5,1.0,0.6506015297177028,go_step_by_step,1,1,gpt-4o
6,1.0,0.36907024642854247,go_step_by_step,1,1,gpt-4o
7,1.0,0.0,go_step_by_step,1,1,gpt-4o
8,1.0,1.0,go_step_by_step,1,1,gpt-4o
9,0.0,0.36907024642854247,go_step_by_step,1,1,gpt-4o
