puzzle_id,n,t,d,markov_entropy,pattern_score
0,4,1,1,0.0,1.0
1,3,2,4,0.8112781244591328,0.6506015297177028
2,3,4,5,1.9219280948873623,0.2564967211898894
3,4,1,1,0.0,1.0
4,6,4,4,0.8112781244591328,0.6506015297177028
5,1,4,4,0.8112781244591328,0.6506015297177028
6,5,1,2,1.0,0.36907024642854247
7,5,2,4,0.8112781244591328,0.6506015297177028
8,2,4,4,1.5,0.35398516288991033
9,2,1,2,1.0,0.36907024642854247
10,5,3,5,1.9219280948873623,0.2564967211898894
11,5,4,6,2.251629167387823,0.19795350787440558
12,4,1,2,1.0,0.36907024642854247
13,5,2,4,0.8112781244591328,0.6506015297177028
14,1,1,2,1.0,0.36907024642854247
15,5,4,4,2.0,0.1386468838532139
16,3,1,2,1.0,0.36907024642854247
17,4,2,2,1.0,0.36907024642854247
18,1,4,6,2.584962500721156,0.07921777883839831
19,1,1,2,1.0,0.36907024642854247
20,2,3,4,2.0,0.1386468838532139
21,4,1,1,0.0,1.0
22,6,4,6,0.6500224216483541,0.768457341627495
23,5,4,7,2.521640636343318,0.159453121218894
24,4,1,1,0.0,1.0
25,4,3,6,1.9182958340544893,0.31668923691041306
26,2,3,4,0.8112781244591328,0.6506015297177028
27,5,3,6,0.6500224216483541,0.768457341627495
28,5,4,7,0.5916727785823275,0.8027757404725575
29,2,2,2,1.0,0.36907024642854247
30,6,3,3,1.584962500721156,0.20751874963942196
31,4,4,8,0.5435644431995964,0.8285245099009361
32,1,1,2,1.0,0.36907024642854247
33,6,1,2,1.0,0.36907024642854247
34,3,4,8,2.5,0.21133780803567814
35,1,4,4,2.0,0.1386468838532139
36,5,1,2,1.0,0.36907024642854247
37,2,3,5,1.9219280948873623,0.2564967211898894
38,6,3,3,0.9182958340544896,0.5408520829727552
39,5,4,4,2.0,0.1386468838532139
40,3,2,2,1.0,0.36907024642854247
41,2,4,8,2.1556390622295662,0.31997158883924604
42,2,1,1,0.0,1.0
43,6,1,1,0.0,1.0
44,5,3,3,1.584962500721156,0.20751874963942196
45,1,4,4,2.0,0.1386468838532139
46,4,4,5,1.9219280948873623,0.2564967211898894
47,2,1,1,0.0,1.0
48,4,2,2,1.0,0.36907024642854247
49,3,1,2,1.0,0.36907024642854247
50,4,4,7,1.1488348542809166,0.6170550485730277
51,6,2,4,0.8112781244591328,0.6506015297177028
52,1,1,1,0.0,1.0
53,1,4,6,0.6500224216483541,0.768457341627495
54,3,2,3,1.584962500721156,0.20751874963942196
55,6,4,4,1.5,0.35398516288991033
56,3,1,1,0.0,1.0
57,6,1,2,1.0,0.36907024642854247
58,4,2,4,0.8112781244591328,0.6506015297177028
59,4,2,4,0.8112781244591328,0.6506015297177028
60,2,1,2,1.0,0.36907024642854247
61,1,4,4,1.5,0.35398516288991033
62,3,1,1,0.0,1.0
63,6,1,1,0.0,1.0
64,6,3,6,0.6500224216483541,0.768457341627495
65,4,2,4,0.8112781244591328,0.6506015297177028
66,4,1,2,1.0,0.36907024642854247
67,1,4,5,1.3709505944546687,0.46964391395534777
68,4,3,3,0.9182958340544896,0.5408520829727552
69,5,3,4,2.0,0.1386468838532139
70,4,4,8,0.5435644431995964,0.8285245099009361
71,4,2,2,1.0,0.36907024642854247
72,6,4,7,2.1280852788913944,0.29063824036953523
73,6,4,4,2.0,0.1386468838532139
74,4,2,3,0.9182958340544896,0.5408520829727552
75,3,1,1,0.0,1.0
76,4,4,7,0.5916727785823275,0.8027757404725575
77,5,4,6,0.6500224216483541,0.768457341627495
78,3,1,2,1.0,0.36907024642854247
79,4,1,1,0.0,1.0
80,5,4,6,2.584962500721156,0.07921777883839831
81,5,4,8,0.5435644431995964,0.8285245099009361
82,2,2,3,0.9182958340544896,0.5408520829727552
83,3,3,3,1.584962500721156,0.20751874963942196
84,6,2,2,1.0,0.36907024642854247
85,1,3,3,1.584962500721156,0.20751874963942196
86,5,1,1,0.0,1.0
87,6,1,1,0.0,1.0
88,2,1,2,1.0,0.36907024642854247
89,5,1,1,0.0,1.0
90,1,4,5,0.7219280948873623,0.7207200898713393
91,3,1,1,0.0,1.0
92,1,2,4,2.0,0.1386468838532139
93,1,2,2,1.0,0.36907024642854247
94,4,2,2,1.0,0.36907024642854247
95,4,4,7,1.6644977792004614,0.4451674069331796
96,3,3,3,0.9182958340544896,0.5408520829727552
97,5,2,2,1.0,0.36907024642854247
98,5,2,2,1.0,0.36907024642854247
99,4,4,5,1.9219280948873623,0.2564967211898894
100,3,1,1,0.0,1.0
101,1,2,2,1.0,0.36907024642854247
102,4,4,7,0.5916727785823275,0.8027757404725575
103,1,3,3,1.584962500721156,0.20751874963942196
104,6,1,2,1.0,0.36907024642854247
105,3,2,2,1.0,0.36907024642854247
106,4,2,4,0.8112781244591328,0.6506015297177028
107,2,1,1,0.0,1.0
