puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
2,4,7,20,3.303701696057348,0.2478454132380781,4,"(0.2, 0.25]"
4,8,4,9,0.5032583347756457,0.848504145664625,16,"(0.8, 0.85]"
5,7,7,17,3.0286393118385755,0.2736945362827829,4,"(0.25, 0.3]"
6,8,3,10,0.4689955935892812,0.8644298701952597,16,"(0.85, 0.9]"
7,10,4,13,0.3912435636292556,0.8972400599264814,17,"(0.85, 0.9]"
10,4,2,4,2.0,0.1386468838532139,2,"(0.1, 0.15]"
12,6,3,4,2.0,0.1386468838532139,2,"(0.1, 0.15]"
20,10,7,14,2.610577243331642,0.3318018051833798,6,"(0.3, 0.35]"
21,5,1,2,1.0,0.3690702464285424,6,"(0.35, 0.4]"
22,6,4,8,2.1556390622295662,0.319971588839246,5,"(0.3, 0.35]"
23,2,4,7,2.5216406363433186,0.1594531212188937,2,"(0.15, 0.2]"
24,5,7,19,3.1813663288914587,0.2639011434144716,4,"(0.25, 0.3]"
26,4,4,10,2.721928094887362,0.2131863280016053,3,"(0.2, 0.25]"
27,7,7,18,2.636056086195823,0.3794489011751281,6,"(0.35, 0.4]"
28,2,4,14,2.556656707462823,0.3456031990410496,6,"(0.3, 0.35]"
29,7,4,9,0.5032583347756457,0.848504145664625,16,"(0.8, 0.85]"
30,4,3,8,2.75,0.1324715888392459,2,"(0.1, 0.15]"
31,2,1,3,0.9182958340544896,0.5408520829727552,10,"(0.5, 0.55]"
32,5,5,10,2.121928094887362,0.386625223792338,7,"(0.35, 0.4]"
33,9,3,9,0.5032583347756457,0.848504145664625,16,"(0.8, 0.85]"
34,7,5,13,0.3912435636292556,0.8972400599264814,17,"(0.85, 0.9]"
36,3,3,10,2.9219280948873623,0.1553733627380277,2,"(0.15, 0.2]"
37,6,7,16,1.936278124459133,0.5262885071594112,9,"(0.5, 0.55]"
38,3,6,16,3.0306390622295662,0.2585525104608643,4,"(0.25, 0.3]"
41,6,7,17,3.5280643115840493,0.1539261952280324,2,"(0.15, 0.2]"
42,6,5,12,0.4138168503036337,0.8881708981030195,16,"(0.85, 0.9]"
43,5,4,9,1.8910611120726528,0.4307338816324458,7,"(0.4, 0.45]"
44,4,3,8,0.5435644431995964,0.8285245099009361,15,"(0.8, 0.85]"
45,3,6,17,3.5724694587701364,0.1432772873530159,2,"(0.1, 0.15]"
46,7,3,11,2.481714572986073,0.3077432267459289,5,"(0.3, 0.35]"
