puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
477,3,4,8,0.5435644431995964,0.8285245099009361,15,
466,7,6,15,2.365596230357602,0.4086009424105995,7,
64,5,4,12,2.8553885422075336,0.2283650701809211,3,
315,3,4,12,0.4138168503036337,0.8881708981030195,16,
79,6,7,18,2.155221528859512,0.4926416418267976,9,
344,4,1,2,1.0,0.3690702464285424,6,
174,6,3,6,1.2516291673878228,0.5541606949824278,10,"(0.55, 0.6]"
426,6,6,15,3.1395722619867223,0.2151069345033194,3,
441,4,6,17,1.439254017211876,0.6548489441143281,12,
37,5,4,9,0.5032583347756457,0.848504145664625,16,
611,8,1,4,0.8112781244591328,0.6506015297177028,12,
93,8,6,15,0.3533593350214213,0.9116601662446446,17,
402,5,4,11,1.789929075309999,0.5007119112264258,9,
138,5,6,13,3.180832987205441,0.1645556948795234,2,
841,7,1,1,0.0,1.0,18,
656,4,3,8,1.5487949406953985,0.5114095948671661,9,
797,6,5,12,3.084962500721156,0.1663254273276259,2,
437,8,2,2,1.0,0.3690702464285424,6,
266,1,1,2,1.0,0.3690702464285424,6,
296,6,7,20,2.2854752972273342,0.4796652706895102,8,
941,4,1,1,0.0,1.0,18,
111,6,7,19,1.7732143550933814,0.5897168309692586,10,
729,9,4,10,2.1609640474436813,0.3753413029464922,6,
569,5,4,8,1.9056390622295665,0.3988378080356781,7,
835,1,3,9,0.5032583347756457,0.848504145664625,16,
970,6,3,9,2.197159723424149,0.3385890179845542,6,
279,7,2,6,0.6500224216483541,0.768457341627495,14,
22,7,5,13,2.5654483718208256,0.3261861779793349,5,
883,5,3,12,2.2295739585136225,0.3974840482920651,7,
946,9,7,15,0.3533593350214213,0.9116601662446446,17,
558,5,5,13,2.199687794731328,0.4222530234868271,7,
310,2,4,10,0.4689955935892812,0.8644298701952597,16,
890,1,1,4,0.8112781244591328,0.6506015297177028,12,
732,3,6,17,3.146286370662105,0.2454813049218263,4,
887,7,6,14,2.0202442071537563,0.4829022831034528,8,
581,3,4,7,0.5916727785823275,0.8027757404725575,15,
372,1,6,16,3.452819531114783,0.1552658298763692,2,
699,7,6,17,3.572469458770136,0.143277287353016,2,
300,10,5,9,0.5032583347756457,0.848504145664625,16,
219,6,4,8,2.4056390622295662,0.2411053696428138,4,
614,3,6,13,3.238901256602631,0.149304090921937,2,
741,3,4,9,2.6416041678685933,0.2047979088005627,3,
620,5,3,9,2.197159723424149,0.3385890179845542,6,
213,6,3,5,0.7219280948873623,0.7207200898713393,13,
273,7,1,2,1.0,0.3690702464285424,6,
537,4,2,3,0.9182958340544896,0.5408520829727552,10,
84,5,2,2,1.0,0.3690702464285424,6,
454,8,7,17,2.116299605701696,0.4924849715595122,9,
10,3,5,10,2.721928094887362,0.2131863280016053,3,
167,7,5,13,0.3912435636292556,0.8972400599264814,16,
666,7,3,4,0.8112781244591328,0.6506015297177028,12,
599,5,1,4,0.8112781244591328,0.6506015297177028,12,
824,4,7,19,0.8795064608120066,0.7965013666348542,15,
462,6,6,15,2.389898095464287,0.4025254761339282,7,
898,5,1,4,0.8112781244591328,0.6506015297177028,12,
364,4,3,7,1.1488348542809166,0.6170550485730277,11,"(0.6, 0.65]"
804,4,5,16,2.0487949406953985,0.498761207069792,9,
21,7,6,14,1.0892300788425848,0.7212028204560124,13,
326,3,6,13,3.7004397181410926,0.0280812285970785,,"(0.0, 0.05]"
794,6,1,1,0.0,1.0,18,
23,6,3,9,0.5032583347756457,0.848504145664625,16,"(0.8, 0.85]"
35,6,3,5,0.7219280948873623,0.7207200898713393,13,
513,6,5,10,1.7709505944546688,0.4880804739964008,8,
885,9,5,17,0.3227569588973982,0.922598857584786,17,
820,2,2,2,1.0,0.3690702464285424,6,
220,4,1,4,0.8112781244591328,0.6506015297177028,12,
498,9,4,12,0.4138168503036337,0.8881708981030195,16,
507,8,3,6,2.2516291673878226,0.1979535078744057,3,
877,5,4,9,1.8365916681089791,0.44713081811265,8,
397,4,7,19,3.7216117239699,0.1389001292334336,2,
465,7,7,20,3.446439344671015,0.2153482972797863,3,
572,5,1,1,0.0,1.0,18,
443,7,3,7,0.5916727785823275,0.8027757404725575,15,
210,7,5,14,1.5916727785823277,0.5925985794505166,11,
638,6,2,6,0.6500224216483541,0.768457341627495,14,
81,5,5,13,1.8810947601100747,0.5059313358961878,9,"(0.5, 0.55]"
172,5,4,8,2.75,0.1324715888392459,2,
864,3,4,11,3.0957952550009344,0.1364497524372486,2,
345,9,6,17,2.5580510765444573,0.3865474617266097,7,"(0.35, 0.4]"
519,4,3,8,1.061278124459133,0.6652040272321104,12,
821,7,3,9,1.8799649487271108,0.4340741596362412,7,
607,3,5,13,2.1619781796795534,0.4321574363466072,7,
119,4,6,13,2.199687794731328,0.4222530234868271,7,
288,8,3,3,0.9182958340544896,0.5408520829727552,10,
87,5,7,16,2.0306390622295662,0.5032030525790905,9,
939,4,7,19,3.43162356584743,0.2059970710973006,3,
48,2,5,13,3.0850551027564768,0.18971171169689,3,
252,6,7,15,0.3533593350214213,0.9116601662446446,17,
456,5,6,15,1.4256051990169438,0.643598700245764,12,
945,7,7,18,2.2096909728231857,0.4798190492116241,8,
387,7,2,6,0.6500224216483541,0.768457341627495,14,
188,5,6,14,2.0670314951575843,0.4709267012797851,8,
399,5,1,3,0.9182958340544896,0.5408520829727552,10,
480,6,5,16,0.9933927290103626,0.7569659303113108,14,
383,7,4,12,2.054585169337799,0.4447726957244109,8,
1,4,4,12,2.2295739585136225,0.3974840482920651,7,
186,6,5,13,2.815072410115944,0.2606225403870156,4,
184,3,2,8,0.5435644431995964,0.8285245099009361,15,
874,7,6,13,2.161978179679554,0.4321574363466071,7,
725,6,4,9,2.197159723424149,0.3385890179845542,6,
