puzzle_id,n,t,d,markov_entropy,pattern_score
0,7,5,12,0.0,1.0
1,10,3,6,0.0,1.0
2,10,3,10,0.0,1.0
3,5,1,1,0.0,1.0
4,6,6,18,0.0,1.0
5,6,1,2,0.0,1.0
6,5,4,9,0.0,1.0
7,8,1,3,0.0,1.0
8,5,6,17,1.0,0.36907024642854247
9,5,3,9,0.0,1.0
10,3,1,1,0.0,1.0
11,5,4,10,0.0,1.0
12,5,1,4,0.0,1.0
13,3,5,14,0.0,1.0
14,10,7,17,0.0,1.0
15,2,1,1,0.0,1.0
16,5,4,13,0.0,1.0
17,7,5,11,0.0,1.0
18,7,2,5,0.0,1.0
19,7,4,9,0.0,1.0
20,3,3,9,0.0,1.0
21,8,4,10,0.0,1.0
22,5,4,10,0.0,1.0
23,7,5,12,0.0,1.0
24,5,4,8,1.0,0.36907024642854247
25,7,5,12,0.0,1.0
26,6,6,14,0.0,1.0
27,6,4,10,0.0,1.0
28,5,1,3,0.0,1.0
29,4,4,10,0.0,1.0
30,5,7,22,0.0,1.0
31,7,5,8,0.0,1.0
32,5,3,9,0.0,1.0
33,6,6,18,0.0,1.0
34,7,6,14,0.0,1.0
35,7,7,20,1.4488156357251847,0.5170614547582717
36,7,5,15,0.0,1.0
37,6,5,13,0.0,1.0
38,4,4,10,0.0,1.0
39,2,4,11,0.0,1.0
40,8,4,9,0.0,1.0
41,4,4,13,0.0,1.0
42,8,5,15,0.0,1.0
43,1,2,5,0.0,1.0
44,1,4,13,0.0,1.0
45,9,3,7,1.0,0.36907024642854247
46,2,3,3,0.0,1.0
47,5,3,6,0.0,1.0
48,5,5,14,0.0,1.0
49,5,6,14,2.0,0.1386468838532139
50,6,4,10,0.0,1.0
51,1,7,15,0.0,1.0
52,7,6,14,0.0,1.0
53,3,6,14,0.0,1.0
54,4,4,10,1.0,0.36907024642854247
55,3,3,5,0.0,1.0
56,6,3,8,0.0,1.0
57,5,6,17,1.9219280948873623,0.2564967211898894
58,4,7,17,0.0,1.0
59,8,2,6,0.0,1.0
60,3,7,16,0.0,1.0
61,3,1,1,0.0,1.0
62,5,5,15,0.0,1.0
63,4,5,12,0.0,1.0
64,9,2,4,0.0,1.0
65,4,5,14,0.0,1.0
66,4,1,4,0.0,1.0
67,8,4,10,0.0,1.0
68,7,4,12,0.9182958340544896,0.5408520829727552
69,2,2,7,0.0,1.0
70,7,6,13,0.0,1.0
71,4,4,8,0.0,1.0
72,3,2,6,0.0,1.0
73,1,7,13,0.0,1.0
74,4,3,9,0.0,1.0
75,3,6,19,1.0,0.36907024642854247
76,5,2,3,0.0,1.0
77,5,3,7,0.0,1.0
78,5,6,16,0.0,1.0
79,9,4,9,0.0,1.0
80,6,4,8,0.0,1.0
81,8,6,14,0.0,1.0
82,8,3,10,0.0,1.0
83,2,7,14,0.0,1.0
84,5,6,14,0.8112781244591328,0.6506015297177028
85,3,3,8,0.0,1.0
86,5,4,14,0.0,1.0
87,8,5,12,0.0,1.0
88,3,6,16,0.0,1.0
89,8,4,10,0.0,1.0
90,2,4,7,0.0,1.0
91,5,4,12,0.0,1.0
92,6,7,18,0.0,1.0
93,5,3,12,0.0,1.0
94,6,6,12,0.0,1.0
95,9,7,15,0.0,1.0
96,5,5,10,0.0,1.0
97,10,3,11,0.0,1.0
98,9,3,8,0.0,1.0
99,7,2,6,0.0,1.0
100,4,3,4,0.0,1.0
101,4,3,6,0.0,1.0
102,6,5,12,0.0,1.0
103,4,6,14,0.0,1.0
104,10,4,14,0.0,1.0
105,5,7,16,0.0,1.0
106,8,1,4,0.0,1.0
107,7,4,8,0.0,1.0
108,8,3,10,0.0,1.0
109,5,6,14,0.0,1.0
110,3,5,13,0.9182958340544896,0.5408520829727552
111,8,3,7,0.0,1.0
112,6,3,8,0.0,1.0
113,2,3,5,0.0,1.0
114,5,5,15,0.0,1.0
115,4,6,19,0.9182958340544896,0.5408520829727552
116,8,4,10,0.0,1.0
117,8,7,21,0.0,1.0
118,6,1,2,0.0,1.0
119,5,6,16,0.0,1.0
120,3,4,12,0.0,1.0
121,7,1,4,0.0,1.0
122,7,4,10,1.0,0.36907024642854247
123,8,1,4,0.0,1.0
124,5,6,16,0.0,1.0
125,6,2,3,0.0,1.0
126,6,3,9,0.0,1.0
127,6,3,12,0.0,1.0
128,6,5,9,0.0,1.0
129,5,4,10,0.0,1.0
130,6,4,11,0.0,1.0
131,7,5,16,0.0,1.0
132,9,4,10,0.0,1.0
133,4,5,10,0.0,1.0
134,3,6,14,0.0,1.0
135,3,1,1,0.0,1.0
136,6,4,6,0.0,1.0
137,3,3,7,0.0,1.0
138,4,7,16,0.0,1.0
139,5,4,10,0.0,1.0
140,4,2,5,0.0,1.0
141,7,5,10,0.0,1.0
142,6,5,10,0.0,1.0
143,5,6,15,0.0,1.0
144,7,4,9,0.0,1.0
145,3,5,10,0.0,1.0
146,6,4,7,0.8112781244591328,0.6506015297177028
147,7,3,5,0.0,1.0
148,9,5,13,0.0,1.0
149,7,7,15,0.9182958340544896,0.5408520829727552
150,6,4,13,0.9182958340544896,0.5408520829727552
151,5,2,8,0.0,1.0
152,8,2,6,0.0,1.0
153,3,2,7,0.0,1.0
154,4,6,14,0.0,1.0
155,6,3,10,0.0,1.0
156,7,6,14,0.0,1.0
157,5,4,11,1.0,0.36907024642854247
158,2,6,14,0.0,1.0
159,6,6,13,0.0,1.0
160,2,5,11,0.0,1.0
161,8,2,3,0.0,1.0
162,2,1,3,0.0,1.0
163,4,7,14,1.584962500721156,0.20751874963942196
164,8,5,11,0.0,1.0
165,4,3,7,0.0,1.0
166,7,3,6,0.0,1.0
167,7,5,13,0.0,1.0
168,7,4,7,0.0,1.0
169,3,5,10,1.0,0.36907024642854247
170,5,7,19,0.0,1.0
171,2,3,10,0.0,1.0
172,8,5,14,0.0,1.0
173,2,2,3,0.0,1.0
174,5,7,17,0.0,1.0
175,4,5,11,0.0,1.0
176,6,5,12,1.0,0.36907024642854247
177,4,4,11,1.0,0.36907024642854247
178,5,6,16,0.0,1.0
179,7,6,13,0.0,1.0
180,7,1,3,0.0,1.0
181,7,4,8,0.0,1.0
182,4,3,8,0.0,1.0
183,8,4,11,0.9182958340544896,0.5408520829727552
184,4,5,13,0.0,1.0
185,7,3,3,0.0,1.0
186,4,3,7,0.0,1.0
187,10,1,4,0.0,1.0
188,5,6,16,0.0,1.0
189,1,6,17,0.0,1.0
190,5,4,10,0.0,1.0
191,7,4,7,0.0,1.0
192,5,5,13,0.0,1.0
193,6,2,2,0.0,1.0
194,9,4,15,0.0,1.0
195,9,2,2,0.0,1.0
196,5,7,19,0.0,1.0
197,3,5,13,0.0,1.0
198,7,4,11,0.0,1.0
199,6,4,13,0.0,1.0
200,8,2,4,0.0,1.0
201,5,4,8,0.0,1.0
202,5,3,8,0.0,1.0
203,7,2,5,0.0,1.0
204,6,7,18,0.0,1.0
205,6,3,11,0.9182958340544896,0.5408520829727552
206,7,7,17,0.6500224216483541,0.768457341627495
207,3,2,5,0.0,1.0
208,5,5,15,0.0,1.0
209,5,3,8,0.0,1.0
210,4,7,16,0.0,1.0
211,4,6,15,0.0,1.0
212,4,1,1,0.0,1.0
213,6,6,15,0.0,1.0
214,5,1,2,0.0,1.0
215,6,3,12,0.0,1.0
216,6,3,11,1.0,0.36907024642854247
217,5,2,6,0.0,1.0
218,8,4,11,0.0,1.0
219,8,1,2,0.0,1.0
220,5,1,2,0.0,1.0
221,7,4,10,0.0,1.0
222,3,4,6,0.0,1.0
223,4,7,16,0.9182958340544896,0.5408520829727552
224,7,5,13,0.0,1.0
225,10,1,4,0.0,1.0
226,3,5,12,0.0,1.0
227,9,3,7,0.0,1.0
228,5,6,14,0.0,1.0
229,3,3,7,0.0,1.0
230,3,4,8,0.0,1.0
231,5,5,9,0.0,1.0
232,2,4,7,0.0,1.0
233,1,3,7,0.0,1.0
234,7,3,9,0.0,1.0
235,4,3,5,0.0,1.0
236,7,4,8,1.584962500721156,0.20751874963942196
237,4,2,6,0.0,1.0
238,5,4,9,0.0,1.0
239,4,3,10,0.0,1.0
240,6,5,17,0.0,1.0
241,2,5,14,0.0,1.0
242,5,7,18,0.0,1.0
243,6,3,9,0.0,1.0
244,4,5,12,0.0,1.0
245,7,5,13,0.0,1.0
246,6,2,4,0.0,1.0
247,7,3,6,0.0,1.0
248,7,4,9,0.0,1.0
249,5,5,10,0.0,1.0
250,3,7,16,1.0,0.36907024642854247
251,4,5,12,0.0,1.0
252,6,7,17,0.0,1.0
253,3,7,19,0.0,1.0
254,4,6,13,1.0,0.36907024642854247
255,4,4,13,2.2516291673878226,0.1979535078744057
256,7,6,15,1.5219280948873621,0.4112378440837061
257,6,3,9,0.7219280948873623,0.7207200898713393
258,5,7,19,1.0,0.36907024642854247
259,6,1,2,0.0,1.0
260,5,4,8,0.0,1.0
261,6,2,5,1.0,0.36907024642854247
262,5,7,18,0.0,1.0
263,4,3,8,0.0,1.0
264,8,1,1,0.0,1.0
265,8,4,9,0.0,1.0
266,5,6,15,0.0,1.0
267,5,4,10,0.0,1.0
268,9,2,4,0.0,1.0
269,5,2,4,0.0,1.0
270,7,3,6,0.0,1.0
271,9,3,9,0.0,1.0
272,5,6,16,2.584962500721156,0.07921777883839831
273,1,4,7,0.0,1.0
274,7,3,5,0.0,1.0
275,9,5,8,0.0,1.0
276,6,5,10,0.0,1.0
277,5,1,3,0.0,1.0
278,9,2,5,0.0,1.0
279,10,1,3,0.0,1.0
280,9,6,16,0.0,1.0
281,6,4,9,0.0,1.0
282,9,5,18,0.0,1.0
283,5,3,6,0.0,1.0
284,8,7,16,0.0,1.0
285,3,1,1,0.0,1.0
286,1,3,9,0.0,1.0
287,3,5,10,0.0,1.0
288,4,7,17,0.0,1.0
289,2,6,17,0.0,1.0
290,10,1,1,0.0,1.0
291,8,1,1,0.0,1.0
292,5,4,12,1.0,0.36907024642854247
293,7,4,9,0.0,1.0
294,6,1,2,0.0,1.0
295,5,6,14,0.0,1.0
296,8,7,15,0.0,1.0
297,7,7,18,0.0,1.0
298,7,2,3,0.0,1.0
299,6,7,17,1.950212064914747,0.34992931169508434
300,4,2,3,0.0,1.0
301,5,4,9,0.0,1.0
302,4,5,15,0.0,1.0
303,7,2,5,0.0,1.0
304,4,1,4,0.0,1.0
305,6,1,1,0.0,1.0
306,4,5,11,0.0,1.0
307,4,5,13,1.0,0.36907024642854247
308,6,4,7,1.0,0.36907024642854247
309,9,7,12,0.0,1.0
310,7,3,7,0.0,1.0
311,8,2,4,0.0,1.0
312,6,1,1,0.0,1.0
313,7,6,14,1.0,0.36907024642854247
314,7,6,16,0.0,1.0
315,3,4,11,0.9182958340544896,0.5408520829727552
316,7,2,3,0.0,1.0
317,10,7,16,1.584962500721156,0.20751874963942196
318,7,3,7,0.0,1.0
319,4,1,4,0.0,1.0
320,8,4,9,0.0,1.0
321,2,6,12,0.0,1.0
322,8,4,10,1.0,0.36907024642854247
323,5,7,16,0.0,1.0
324,3,3,7,0.0,1.0
325,6,6,14,0.0,1.0
326,10,3,9,0.0,1.0
327,6,7,17,1.0,0.36907024642854247
328,3,4,10,0.0,1.0
329,7,1,4,0.0,1.0
330,6,2,8,0.0,1.0
331,6,2,3,0.0,1.0
332,6,3,7,0.0,1.0
333,7,7,19,0.0,1.0
334,6,7,16,0.0,1.0
335,3,6,19,0.0,1.0
336,8,5,13,0.0,1.0
337,7,3,7,0.0,1.0
338,5,3,9,0.0,1.0
339,6,5,13,0.0,1.0
340,1,3,6,0.0,1.0
341,4,1,3,0.0,1.0
342,4,6,13,0.0,1.0
343,6,2,4,0.0,1.0
344,6,3,5,0.0,1.0
345,5,6,15,0.0,1.0
346,5,5,11,0.0,1.0
347,6,6,18,1.0,0.36907024642854247
348,7,3,7,0.0,1.0
349,8,1,4,0.0,1.0
350,1,4,7,0.0,1.0
351,3,6,14,0.0,1.0
352,7,6,14,0.0,1.0
353,4,4,10,0.0,1.0
354,4,3,5,0.0,1.0
355,6,2,3,0.0,1.0
356,2,5,12,0.0,1.0
357,7,3,10,0.0,1.0
358,1,2,7,0.0,1.0
359,8,1,1,0.0,1.0
360,5,4,11,0.0,1.0
361,3,6,15,0.0,1.0
362,5,4,12,0.0,1.0
363,5,7,16,0.0,1.0
364,10,3,4,0.0,1.0
365,2,2,5,0.9182958340544896,0.5408520829727552
366,5,6,16,0.0,1.0
