puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
2,3,5,12,3.418295834054489,0.0762460425185191,0,"(0.05, 0.1]"
5,3,7,17,1.8490070880144411,0.5565850495212987,10,"(0.55, 0.6]"
8,3,1,1,0.0,1.0,18,"(0.95, 1.0]"
9,9,6,20,0.2863969571159562,0.9347959335473596,17,"(0.9, 0.95]"
12,6,1,1,0.0,1.0,18,"(0.95, 1.0]"
13,5,6,16,0.9933927290103626,0.7569659303113108,14,"(0.75, 0.8]"
16,5,5,14,1.0892300788425848,0.7212028204560124,13,"(0.7, 0.75]"
21,7,6,14,1.0892300788425848,0.7212028204560124,13,"(0.7, 0.75]"
24,5,3,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
30,9,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
35,6,3,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
36,10,7,21,1.976648091673972,0.556748872790656,10,"(0.55, 0.6]"
44,9,4,11,0.8658566174572235,0.7584754046149585,14,"(0.75, 0.8]"
47,9,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
54,1,7,14,3.521640636343319,0.0986078186315824,1,"(0.05, 0.1]"
56,6,3,10,1.7609640474436812,0.4909672334736474,9,"(0.45, 0.5]"
66,8,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
68,9,6,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
75,4,5,15,2.022579761842492,0.4943550595393771,9,"(0.45, 0.5]"
79,6,7,18,2.155221528859512,0.4926416418267976,9,"(0.45, 0.5]"
82,7,1,1,0.0,1.0,18,"(0.95, 1.0]"
83,6,7,14,3.521640636343319,0.0986078186315824,1,"(0.05, 0.1]"
85,8,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
86,8,6,16,2.1266144718101816,0.4797226165951741,8,"(0.45, 0.5]"
93,8,6,15,0.3533593350214213,0.9116601662446446,17,"(0.9, 0.95]"
94,7,5,13,0.7732283485249176,0.7969119337823534,15,"(0.75, 0.8]"
97,8,6,13,0.7732283485249176,0.7969119337823534,15,"(0.75, 0.8]"
99,7,6,16,0.3372900666170139,0.9174818023510548,17,"(0.9, 0.95]"
105,6,4,10,0.9219280948873624,0.7335030153738034,13,"(0.7, 0.75]"
110,4,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
111,6,7,19,1.7732143550933814,0.5897168309692586,10,"(0.55, 0.6]"
120,8,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
128,2,1,1,0.0,1.0,18,"(0.95, 1.0]"
130,3,6,16,0.3372900666170139,0.9174818023510548,17,"(0.9, 0.95]"
