puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
326,3,6,13,3.7004397181410926,0.0280812285970785,,"(0.0, 0.05]"
587,1,5,14,3.521640636343319,0.0986078186315824,1,"(0.05, 0.1]"
706,10,5,12,1.4182958340544896,0.6167223513731586,11,"(0.6, 0.65]"
111,6,7,19,1.7732143550933814,0.5897168309692586,10,"(0.55, 0.6]"
543,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
875,3,4,9,2.9477027792200903,0.1126530451526708,1,"(0.1, 0.15]"
967,6,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
565,6,5,17,0.3227569588973982,0.922598857584786,17,"(0.9, 0.95]"
945,7,7,18,2.2096909728231857,0.4798190492116241,8,"(0.45, 0.5]"
564,7,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
