puzzle_id,n,t,d,markov_entropy,pattern_score
0,1,1,1,0.0,1.0
1,1,1,2,0.0,1.0
2,1,1,3,0.0,1.0
3,1,2,2,0.0,1.0
4,1,2,3,0.0,1.0
5,1,2,4,0.0,1.0
6,1,2,5,0.0,1.0
7,1,2,6,0.0,1.0
8,1,3,3,0.0,1.0
9,1,3,4,0.0,1.0
10,1,3,5,0.0,1.0
11,1,3,6,0.0,1.0
12,1,3,7,2.321928094887362,0.10175559829607284
13,1,3,8,0.0,1.0
14,1,3,9,0.0,1.0
15,1,4,4,0.0,1.0
16,1,4,5,0.0,1.0
17,1,4,6,1.584962500721156,0.20751874963942196
18,1,4,7,0.0,1.0
19,1,4,8,0.0,1.0
20,1,4,9,0.0,1.0
21,1,4,10,1.584962500721156,0.20751874963942196
22,1,4,11,0.0,1.0
23,1,4,12,3.418295834054489,0.07624604251851919
24,1,5,5,0.0,1.0
25,1,5,6,0.0,1.0
26,1,5,7,0.0,1.0
27,1,5,8,1.584962500721156,0.20751874963942196
28,1,5,9,0.0,1.0
29,1,5,10,0.0,1.0
30,1,5,11,0.0,1.0
31,1,5,12,2.94770277922009,0.11265304515267105
32,1,5,13,1.0,0.36907024642854247
33,1,5,14,3.6644977792004623,0.06204238651589433
34,1,5,15,3.3927474104487847,0.10889647014698423
35,1,6,6,0.0,1.0
36,1,6,7,0.0,1.0
37,1,6,8,0.0,1.0
38,1,6,9,0.0,1.0
39,1,6,10,0.0,1.0
40,1,6,11,0.0,1.0
41,1,6,12,0.0,1.0
42,1,6,13,0.0,1.0
43,1,6,14,0.0,1.0
44,1,6,15,0.0,1.0
45,1,6,16,0.0,1.0
46,1,6,17,0.0,1.0
47,1,6,18,0.0,1.0
48,1,7,7,0.0,1.0
49,1,7,8,0.0,1.0
50,1,7,9,0.0,1.0
51,1,7,10,2.321928094887362,0.10175559829607284
52,1,7,11,0.0,1.0
53,1,7,12,3.4182958340544896,0.07624604251851907
54,1,7,13,0.0,1.0
55,1,7,14,0.0,1.0
56,1,7,15,1.584962500721156,0.20751874963942196
57,1,7,16,0.0,1.0
58,1,7,17,1.584962500721156,0.20751874963942196
59,1,7,18,0.0,1.0
60,1,7,19,2.321928094887362,0.10175559829607284
61,1,7,20,0.0,1.0
62,1,7,21,3.906890595608518,0.023277351097870547
63,2,1,1,0.0,1.0
64,2,1,2,0.0,1.0
65,2,1,3,1.0,0.36907024642854247
66,2,2,2,0.0,1.0
67,2,2,3,0.0,1.0
68,2,2,4,0.0,1.0
69,2,2,5,0.0,1.0
70,2,2,6,1.0,0.36907024642854247
71,2,3,3,1.584962500721156,0.20751874963942196
72,2,3,4,0.0,1.0
73,2,3,5,0.0,1.0
74,2,3,6,1.584962500721156,0.20751874963942196
75,2,3,7,0.0,1.0
76,2,3,8,0.0,1.0
77,2,3,9,1.0,0.36907024642854247
78,2,4,4,0.0,1.0
79,2,4,5,2.0,0.1386468838532139
80,2,4,6,2.321928094887362,0.10175559829607284
81,2,4,7,1.0,0.36907024642854247
82,2,4,8,2.321928094887362,0.10175559829607284
83,2,4,9,2.321928094887362,0.10175559829607284
84,2,4,10,0.0,1.0
85,2,4,11,0.0,1.0
86,2,4,12,2.8464393446710154,0.1771945052082704
87,2,5,5,0.0,1.0
88,2,5,6,0.0,1.0
89,2,5,7,2.321928094887362,0.10175559829607284
90,2,5,8,1.0,0.36907024642854247
91,2,5,9,0.0,1.0
92,2,5,10,0.0,1.0
93,2,5,11,1.9219280948873623,0.2564967211898894
94,2,5,12,2.94770277922009,0.11265304515267105
95,2,5,13,2.2516291673878226,0.1979535078744057
96,2,5,14,1.0,0.36907024642854247
97,2,5,15,2.9219280948873623,0.1553733627380277
98,2,6,6,0.0,1.0
99,2,6,7,1.584962500721156,0.20751874963942196
100,2,6,8,2.0,0.1386468838532139
101,2,6,9,2.5,0.21133780803567814
102,2,6,10,2.0,0.1386468838532139
103,2,6,11,1.0,0.36907024642854247
104,2,6,12,2.321928094887362,0.10175559829607284
105,2,6,13,3.169925001442312,0.04575749056067513
106,2,6,14,0.0,1.0
107,2,6,15,0.0,1.0
