run_id,run_accuracy,pattern_weighted_accuracy,prompt_title,give_explanation,ask_explanation,model
0,0.0,0.0,problem_defined,0,1,gpt-4o
1,0.0,0.0,problem_defined,0,1,gpt-4o
2,0.0,0.0,problem_defined,0,1,gpt-4o
3,0.0,0.0,problem_defined,0,1,gpt-4o
4,0.0,0.0,problem_defined,0,1,gpt-4o
5,0.0,0.0,problem_defined,0,1,gpt-4o
6,0.0,0.0,problem_defined,0,1,gpt-4o
7,0.0,0.0,problem_defined,0,1,gpt-4o
8,0.0,0.0,problem_defined,0,1,gpt-4o
9,0.0,0.0,problem_defined,0,1,gpt-4o
10,0.0,0.0,problem_defined,0,1,gpt-4o
11,0.0,0.0,problem_defined,0,1,gpt-4o
12,0.0,0.0,problem_defined,0,1,gpt-4o
13,0.0,0.0,problem_defined,0,1,gpt-4o
14,0.0,0.0,problem_defined,0,1,gpt-4o
15,0.0,0.0,problem_defined,0,1,gpt-4o
16,0.0,0.0,problem_defined,0,1,gpt-4o
17,0.0,0.0,problem_defined,0,1,gpt-4o
18,0.0,0.0,problem_defined,0,1,gpt-4o
19,0.0,0.0,problem_defined,0,1,gpt-4o
